イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\AppHost\AppHost.csproj,File,src\AppHost\AppHost.csproj,,,Aspire.Hosting.AppHost 9.5.2,,,,,"Aspire.Hosting.AppHost, 9.5.2  レコメンデーション：  Remove Aspire.Hosting.AppHost, and replace with new package Aspire.Hosting.AppHost 13.1.0"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\AppHost\AppHost.csproj,File,src\AppHost\AppHost.csproj,,,Aspire.Hosting.Redis 9.5.2,,,,,"Aspire.Hosting.Redis, 9.5.2  レコメンデーション：  Remove Aspire.Hosting.Redis, and replace with new package Aspire.Hosting.Redis 13.1.0"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,src\AppHost\AppHost.csproj,File,src\AppHost\AppHost.csproj,,,Aspire.Hosting.AppHost 9.5.2,,,,,"Aspire.Hosting.AppHost, 9.5.2  レコメンデーション：  This version is out of support and is no longer maintained. Please upgrade to the latest version. See our support policy for details: https://aka.ms/dotnet/aspire/support Remove Aspire.Hosting.AppHost, and replace with new package Aspire.Hosting.AppHost, 13.1.0"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,src\AppHost\AppHost.csproj,File,src\AppHost\AppHost.csproj,,,Aspire.Hosting.Redis 9.5.2,,,,,"Aspire.Hosting.Redis, 9.5.2  レコメンデーション：  This version is out of support and is no longer maintained. Please upgrade to the latest version. See our support policy for details: https://aka.ms/dotnet/aspire/support Remove Aspire.Hosting.Redis, and replace with new package Aspire.Hosting.Redis, 13.1.0"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,src\AppHost\AppHost.csproj,File,src\AppHost\AppHost.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\AttendanceService.API.csproj,,,Aspire.StackExchange.Redis 9.5.2,,,,,"Aspire.StackExchange.Redis, 9.5.2  レコメンデーション：  Remove Aspire.StackExchange.Redis, and replace with new package Aspire.StackExchange.Redis 13.1.0"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\AttendanceService.API.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 9.0.10,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 9.0.10  レコメンデーション：  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\AttendanceService.API.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.10,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.10  レコメンデーション：  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.2"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\AttendanceService.API.csproj,,,Aspire.StackExchange.Redis 9.5.2,,,,,"Aspire.StackExchange.Redis, 9.5.2  レコメンデーション：  This version is out of support and is no longer maintained. Please upgrade to the latest version. See our support policy for details: https://aka.ms/dotnet/aspire/support Remove Aspire.StackExchange.Redis, and replace with new package Aspire.StackExchange.Redis, 13.1.0"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\AttendanceService.API.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
